Sample	Gender	Pop
HG03235	female	SAS
HG03707	male	SAS
HG02680	female	AFR
HG03242	male	AFR
HG03714	female	SAS
HG02572	male	AFR
HG03103	male	AFR
HG03733	female	SAS
HG02577	female	AFR
HG03108	female	AFR
HG03738	male	SAS
HG02584	male	AFR
HG03110	female	AFR
HG03740	male	SAS
HG02654	male	SAS
HG03115	male	AFR
HG03745	male	SAS
HG02659	female	SAS
HG03247	female	AFR
HG03752	female	SAS
HG02661	female	SAS
HG03259	female	AFR
HG03579	male	AFR
HG02729	male	SAS
HG03266	female	AFR
HG03593	male	SAS
HG02731	female	SAS
HG03134	male	AFR
HG03598	female	SAS
HG02736	male	SAS
HG03139	male	AFR
HG03663	male	SAS
HG02589	female	AFR
HG03158	female	AFR
HG03668	female	SAS
HG02596	male	AFR
HG03160	male	AFR
HG03682	male	SAS
HG02983	female	AFR
HG03191	male	AFR
HG03687	male	SAS
HG03006	male	SAS
HG03196	male	AFR
HG03694	male	SAS
HG02818	female	AFR
HG03209	male	AFR
HG03699	male	SAS
HG02820	female	AFR
HG03280	male	AFR
HG03620	female	SAS
HG02837	female	AFR
HG03297	female	AFR
HG03625	female	SAS
HG02851	male	AFR
HG03300	female	AFR
HG03606	male	SAS
HG02762	male	AFR
HG03172	male	AFR
HG03618	male	SAS
HG02774	male	SAS
HG03189	female	AFR
HG03719	female	SAS
HG02779	male	SAS
HG03122	male	AFR
HG03721	female	SAS
HG02798	male	AFR
HG03127	male	AFR
HG03757	female	SAS
HG02806	female	AFR
HG03305	female	AFR
HG03769	male	SAS
HG02813	male	AFR
HG03312	female	AFR
HG03771	male	SAS
HG02964	female	AFR
HG03519	male	AFR
HG03790	male	SAS
HG02969	female	AFR
HG03521	male	AFR
HG03795	male	SAS
HG02971	male	AFR
HG03538	male	AFR
HG03803	male	SAS
HG02976	female	AFR
HG03540	female	AFR
HG03904	female	SAS
HG02781	female	SAS
HG03557	female	AFR
HG03909	male	SAS
HG02786	male	SAS
HG03432	male	AFR
HG03911	male	SAS
HG02793	female	SAS
HG03437	female	AFR
HG03884	female	SAS
HG02938	male	AFR
HG03449	female	AFR
HG03896	male	SAS
HG02945	female	AFR
HG03451	male	AFR
HG03808	female	SAS
HG02952	female	AFR
HG03343	male	AFR
HG03815	male	SAS
HG02882	female	AFR
HG03350	male	AFR
HG03783	male	SAS
HG02887	male	AFR
HG03362	male	AFR
HG03788	male	SAS
HG02856	male	AFR
HG03367	male	AFR
HG03858	female	SAS
HG02870	female	AFR
HG03564	female	AFR
HG03872	male	SAS
HG03164	female	AFR
HG03569	female	AFR
HG03822	male	SAS
HG03169	male	AFR
HG03571	male	AFR
HG03834	female	SAS
HG03171	female	AFR
HG03576	female	AFR
HG03846	male	SAS
HG03176	male	AFR
HG03470	female	AFR
HG03978	male	SAS
HG03018	male	SAS
HG03487	male	SAS
HG03985	male	SAS
HG03025	female	AFR
HG03393	female	AFR
HG03992	male	SAS
HG03049	female	AFR
HG03398	female	AFR
HG03916	female	SAS
HG03056	male	AFR
HG03401	female	AFR
HG03928	female	SAS
HG03119	female	AFR
HG03499	female	AFR
HG03930	female	SAS
HG03121	female	AFR
HG03514	female	AFR
HG03942	male	SAS
HG03126	female	AFR
HG03374	female	AFR
HG03947	female	SAS
HG03190	male	AFR
HG03381	female	AFR
HG04003	male	SAS
HG03195	female	AFR
HG03456	male	AFR
HG04015	male	SAS
HG03203	female	AFR
HG03468	male	AFR
HG04022	male	SAS
HG03099	female	AFR
HG03704	female	SAS
HG04135	female	SAS
HG03107	female	AFR
HG03709	female	SAS
HG04142	female	SAS
HG03114	female	AFR
HG03711	male	SAS
HG04147	female	SAS
HG03133	male	AFR
HG03716	male	SAS
HG04058	male	SAS
HG03140	female	AFR
HG03646	male	SAS
HG04060	male	SAS
HG03157	male	AFR
HG03653	female	SAS
HG04096	male	SAS
HG03063	male	AFR
HG03660	male	SAS
HG04039	male	SAS
HG03082	female	AFR
HG03583	female	AFR
HG04053	male	SAS
HG03234	male	SAS
HG03590	male	SAS
HG03973	female	SAS
HG03239	female	SAS
HG03595	female	SAS
HG04128	male	SAS
HG03241	female	AFR
HG03689	female	SAS
NA06985	female	EUR
HG03246	male	AFR
HG03691	male	SAS
NA06997	female	EUR
HG03258	male	AFR
HG03696	male	SAS
NA07022	male	EUR
HG03260	male	AFR
HG03634	female	SAS
NA07034	male	EUR
HG03265	male	AFR
HG03639	male	SAS
NA12045	male	EUR
HG03342	female	AFR
HG03641	male	SAS
NA12057	female	EUR
HG03354	female	AFR
HG03672	male	SAS
NA12146	male	EUR
HG03361	male	AFR
HG03684	female	SAS
NA10859	female	EUR
HG03366	female	AFR
HG03603	male	SAS
NA10861	female	EUR
HG03373	male	AFR
HG03615	male	SAS
NA11840	female	EUR
HG03378	female	AFR
HG03742	male	SAS
NA10842	male	EUR
HG03380	female	AFR
HG03754	female	SAS
NA10847	female	EUR
HG03304	male	AFR
HG03723	female	SAS
NA10854	female	EUR
HG03309	female	AFR
HG03730	female	SAS
HG04217	female	SAS
HG03311	male	AFR
HG03824	male	SAS
HG04229	male	SAS
HG03272	female	AFR
HG03829	female	SAS
HG04301	female	EUR
HG03291	female	AFR
HG03831	female	SAS
HG04197	female	SAS
HG03296	male	AFR
HG03836	female	SAS
HG04200	female	SAS
HG03431	female	AFR
HG03792	male	SAS
HG04212	female	SAS
HG03436	male	AFR
HG03797	male	SAS
NA07349	male	EUR
HG03450	female	AFR
HG03800	male	SAS
NA10830	male	EUR
HG03455	female	AFR
HG03879	male	SAS
NA10835	male	EUR
HG03462	male	AFR
HG03886	female	SAS
HG04180	female	SAS
HG03385	male	AFR
HG03898	female	SAS
HG04185	male	SAS
HG03397	male	AFR
HG03761	male	SAS
HG04192	female	SAS
HG03621	male	SAS
HG03766	male	SAS
HG04159	female	SAS
HG03626	female	SAS
HG03773	male	SAS
HG04161	male	SAS
HG03633	male	SAS
HG03901	female	SAS
HG04173	male	SAS
HG03638	female	SAS
HG03906	male	SAS
NA12761	female	EUR
HG03640	female	SAS
HG03913	female	SAS
NA12766	male	EUR
HG03518	male	AFR
HG03862	female	SAS
NA12778	female	EUR
HG03520	female	AFR
HG03867	male	SAS
NA12812	male	EUR
HG03549	female	AFR
HG03874	female	SAS
NA12817	male	EUR
HG03556	male	AFR
HG03805	female	SAS
NA12829	male	EUR
HG03599	female	SAS
HG03812	male	SAS
NA12843	female	EUR
HG03602	male	SAS
HG03817	female	SAS
NA12874	male	EUR
HG03607	female	SAS
HG03778	male	SAS
NA18485	male	AFR
HG03619	female	SAS
HG03780	female	SAS
NA12348	female	EUR
HG03582	male	AFR
HG03785	male	SAS
NA12386	female	EUR
HG03587	female	SAS
HG03848	male	SAS
NA12413	male	EUR
HG03594	male	SAS
HG03850	male	SAS
NA12716	male	EUR
HG03645	female	SAS
HG03937	female	SAS
NA18543	male	EAS
HG03652	male	SAS
HG03944	female	SAS
NA18548	male	EAS
HG03657	male	SAS
HG03949	female	SAS
NA18550	female	EAS
HG03486	female	AFR
HG03951	female	SAS
NA18555	female	EAS
HG03493	female	AFR
HG04062	female	SAS
NA18562	male	EAS
HG03513	male	AFR
HG04067	female	SAS
NA12273	female	EUR
HG03563	female	AFR
HG04093	male	SAS
NA12329	female	EUR
HG03575	female	AFR
HG04098	male	SAS
NA12336	female	EUR
HG03474	male	AFR
HG04106	female	SAS
NA12343	female	EUR
HG03479	female	AFR
HG04118	female	SAS
NA18497	male	AFR
HG03669	female	SAS
HG04132	female	SAS
NA18500	male	AFR
HG03683	female	SAS
HG04017	male	SAS
NA18505	female	AFR
HG03703	female	SAS
HG04024	female	SAS
NA18517	female	AFR
HG03708	male	SAS
HG04029	female	SAS
NA18606	male	EAS
HG03710	male	SAS
HG04144	female	SAS
NA18613	male	EAS
HG03715	male	SAS
HG04149	male	SAS
NA18618	female	EAS
HG03760	female	SAS
HG04151	female	SAS
NA18620	male	EAS
HG03765	female	SAS
HG03920	male	SAS
NA18567	female	EAS
HG03772	female	SAS
HG03925	female	SAS
NA18574	female	EAS
HG03804	female	SAS
HG04036	female	SAS
NA18579	female	EAS
HG03809	male	SAS
HG04050	female	SAS
NA18593	female	EAS
HG03811	female	SAS
HG04055	male	SAS
NA18531	female	EAS
HG03816	female	SAS
HG03963	male	SAS
NA18536	male	EAS
HG03823	female	SAS
HG03968	female	SAS
NA18916	female	AFR
HG03830	male	SAS
HG03982	male	SAS
NA18923	male	AFR
HG03835	female	SAS
HG03999	male	SAS
NA18930	female	AFR
HG03688	male	SAS
NA06994	male	EUR
NA18935	male	AFR
HG03690	female	SAS
NA07000	female	EUR
NA18942	female	EAS
HG03695	male	SAS
NA07029	male	EUR
NA18795	female	EAS
HG03789	female	SAS
NA07031	female	EUR
NA18853	male	AFR
HG03796	female	SAS
NA07048	male	EUR
NA18858	female	AFR
HG03722	female	SAS
NA11931	female	EUR
NA18860	male	AFR
HG03727	male	SAS
NA11993	female	EUR
NA18865	male	AFR
HG03741	female	SAS
NA12004	female	EUR
NA18872	male	AFR
HG03746	male	SAS
NA12155	male	EUR
NA18877	male	AFR
HG03753	male	SAS
NA10863	female	EUR
NA18909	female	AFR
HG03777	male	SAS
NA11830	female	EUR
NA18911	male	AFR
HG03784	female	SAS
NA11892	female	EUR
NA18644	female	EAS
HG03931	female	SAS
NA11917	male	EUR
NA18740	male	EAS
HG03943	male	SAS
NA07055	female	EUR
NA18745	male	EAS
HG03948	female	SAS
NA07346	female	EUR
NA18757	male	EAS
HG03950	male	SAS
NA07435	male	EUR
NA18625	female	EAS
HG03917	male	SAS
NA10837	male	EUR
NA18632	male	EAS
HG03924	female	SAS
NA10851	male	EUR
NA18637	male	EAS
HG03929	male	SAS
NA10856	male	EUR
NA18978	female	EAS
HG03900	male	SAS
HG04199	male	SAS
NA18980	female	EAS
HG03905	male	SAS
HG04202	female	SAS
NA18985	male	EAS
HG03955	female	SAS
HG04214	female	SAS
NA18961	male	EAS
HG03967	male	SAS
HG04182	male	SAS
NA18966	male	EAS
HG03974	male	SAS
HG04187	male	SAS
NA18973	female	EAS
HG03885	male	SAS
HG04194	male	SAS
NA18992	female	EAS
HG03897	female	SAS
HG04219	male	SAS
NA18997	female	EAS
HG03861	female	SAS
HG04238	male	SAS
NA19003	female	EAS
HG03866	male	SAS
HG04303	female	EUR
NA18947	female	EAS
HG03873	female	SAS
HG04156	female	SAS
NA18954	female	EAS
HG03842	female	SAS
HG04175	female	SAS
NA18959	male	EAS
HG03847	male	SAS
NA12376	female	EUR
NA19142	male	AFR
HG03854	male	SAS
NA12383	female	EUR
NA19147	female	AFR
HG03986	female	SAS
NA12489	female	EUR
NA19154	male	AFR
HG03998	male	SAS
NA12718	female	EUR
NA19159	female	AFR
HG04023	male	SAS
NA12749	female	EUR
NA19161	male	AFR
NA06986	male	EUR
NA12751	female	EUR
NA19166	female	AFR
NA06993	male	EUR
NA12249	female	EUR
NA19109	female	AFR
HG04035	female	SAS
NA12275	female	EUR
NA19116	female	AFR
HG04042	female	SAS
NA12282	male	EUR
NA19123	male	AFR
HG04047	female	SAS
NA12287	female	EUR
NA19128	male	AFR
HG04054	female	SAS
NA12340	male	EUR
NA19130	male	AFR
HG04155	male	SAS
NA18499	female	AFR
NA19173	male	AFR
HG04162	female	SAS
NA18502	female	AFR
NA19185	female	AFR
HG04174	female	SAS
NA18507	male	AFR
NA19197	female	AFR
HG04181	female	SAS
NA18519	male	AFR
NA19200	male	AFR
HG04186	female	SAS
NA18521	male	AFR
NA19089	male	EAS
HG04193	male	SAS
NA12864	male	EUR
NA19091	male	EAS
HG04100	male	SAS
NA12890	female	EUR
NA19096	male	AFR
HG04131	male	SAS
NA18487	male	AFR
NA19104	male	AFR
HG04198	male	SAS
NA12763	female	EUR
NA19205	male	AFR
HG04206	male	SAS
NA12775	male	EUR
NA19224	male	AFR
HG04059	female	SAS
NA12802	female	EUR
NA19236	male	AFR
HG04061	male	SAS
NA12814	male	EUR
NA19027	male	AFR
HG04080	male	SAS
NA18545	female	EAS
NA19041	male	AFR
HG04136	female	SAS
NA18552	female	EAS
NA19046	male	AFR
HG04148	female	SAS
NA18557	male	EAS
NA19072	male	EAS
HG04150	female	SAS
NA18564	female	EAS
NA19077	female	EAS
HG04225	male	SAS
NA18571	female	EAS
NA19084	female	EAS
HG04302	male	EUR
NA18576	female	EAS
NA19058	male	EAS
NA12344	male	EUR
NA18595	female	EAS
NA19060	male	EAS
NA12375	male	EUR
NA18603	male	EAS
NA19065	female	EAS
NA12399	male	EUR
NA18608	male	EAS
NA19010	female	EAS
NA12414	female	EUR
NA18610	female	EAS
NA19678	female	AMR
NA12546	male	EUR
NA18615	female	EAS
NA19680	female	AMR
NA12717	female	EUR
NA18622	male	EAS
NA19685	male	AMR
NA12748	male	EUR
NA18526	female	EAS
NA19700	male	AFR
NA11930	male	EUR
NA18533	female	EAS
NA19705	male	AFR
NA11992	male	EUR
NA18538	female	EAS
NA19399	female	AFR
NA12003	male	EUR
NA18874	male	AFR
NA19438	female	AFR
NA12046	female	EUR
NA18879	male	AFR
NA19440	female	AFR
NA12058	female	EUR
NA18881	female	AFR
NA19445	female	AFR
NA12154	male	EUR
NA18906	female	AFR
NA19469	female	AFR
NA12750	male	EUR
NA18913	male	AFR
NA19471	female	AFR
NA12762	male	EUR
NA18855	female	AFR
NA19654	female	AMR
NA12767	female	EUR
NA18862	male	AFR
NA19248	male	AFR
NA12801	male	EUR
NA18867	female	AFR
NA19313	female	AFR
NA12813	female	EUR
NA18627	female	EAS
NA19659	female	AMR
NA12818	female	EUR
NA18634	female	EAS
NA19661	male	AMR
NA18498	male	AFR
NA18639	male	EAS
NA19382	male	AFR
NA18501	male	AFR
NA18641	female	EAS
NA19394	male	AFR
NA18506	male	AFR
NA18963	female	EAS
NA19318	male	AFR
NA18518	female	AFR
NA18968	female	EAS
NA19320	female	AFR
NA18520	female	AFR
NA18970	male	EAS
NA19332	female	AFR
NA07340	female	EUR
NA18975	female	EAS
NA19452	male	AFR
NA07345	female	EUR
NA18994	male	EAS
NA19457	female	AFR
NA07357	male	EUR
NA18999	female	EAS
NA19351	female	AFR
NA10831	female	EUR
NA19000	male	EAS
NA19375	male	AFR
NA10836	female	EUR
NA19005	male	EAS
NA19712	female	AFR
NA12832	female	EUR
NA18925	male	AFR
NA19717	male	AMR
NA12875	female	EUR
NA18944	male	EAS
NA19724	male	AMR
NA18486	male	AFR
NA18949	female	EAS
NA19729	male	AMR
NA12248	male	EUR
NA18951	female	EAS
NA19731	female	AMR
NA12274	male	EUR
NA18956	female	EAS
NA20322	female	AFR
NA12286	male	EUR
NA18646	female	EAS
NA20334	female	AFR
NA10843	female	EUR
NA18747	male	EAS
NA20339	female	AFR
NA10850	female	EUR
NA18982	male	EAS
NA20341	female	AFR
NA10855	female	EUR
NA18987	female	EAS
NA20346	male	AFR
NA11839	male	EUR
NA19207	male	AFR
NA19902	female	AFR
NA11891	male	EUR
NA19214	female	AFR
NA19914	female	AFR
NA18917	male	AFR
NA19221	female	AFR
NA19919	male	AFR
NA18924	female	AFR
NA19226	male	AFR
NA19921	female	AFR
NA18943	male	EAS
NA19238	female	AFR
NA19983	female	AFR
NA18602	female	EAS
NA19240	female	AFR
NA19762	male	AMR
NA18614	female	EAS
NA19113	male	AFR
NA19774	male	AMR
NA18619	female	EAS
NA19118	female	AFR
NA19779	female	AMR
NA18621	male	EAS
NA19120	male	AFR
NA19781	female	AMR
NA18626	female	EAS
NA19132	female	AFR
NA19786	male	AMR
NA18633	male	EAS
NA19137	female	AFR
NA19798	male	AMR
NA18638	male	EAS
NA19093	female	AFR
NA19818	male	AFR
NA18640	female	EAS
NA19098	male	AFR
NA19748	female	AMR
NA18873	female	AFR
NA19101	male	AFR
NA19750	male	AMR
NA18878	female	AFR
NA19144	male	AFR
NA19755	female	AMR
NA18912	female	AFR
NA19149	female	AFR
NA20276	female	AFR
NA18570	female	EAS
NA19151	female	AFR
NA20288	male	AFR
NA18582	female	EAS
NA19175	male	AFR
NA20290	female	AFR
NA18599	female	EAS
NA19199	female	AFR
NA20358	male	AFR
NA18525	female	EAS
NA19202	female	AFR
NA20360	male	AFR
NA18532	female	EAS
NA19031	male	AFR
NA20295	male	AFR
NA18537	female	EAS
NA19036	female	AFR
NA20529	female	EUR
NA18854	male	AFR
NA19043	male	AFR
NA20531	female	EUR
NA18859	male	AFR
NA19055	male	EAS
NA20536	male	EUR
NA18861	female	AFR
NA19012	male	EAS
NA20543	male	EUR
NA18544	male	EAS
NA19017	female	AFR
NA20581	male	EUR
NA18549	male	EAS
NA19024	female	AFR
NA20586	male	EUR
NA18563	male	EAS
NA19079	male	EAS
NA20752	male	EUR
NA18645	male	EAS
NA19081	female	EAS
NA20790	female	EUR
NA18791	male	EAS
NA19086	male	EAS
NA20795	female	EUR
NA19004	male	EAS
NA19062	male	EAS
NA20803	male	EUR
NA19009	male	EAS
NA19067	male	EAS
NA20808	female	EUR
NA19011	female	EAS
NA19074	female	EAS
NA20810	male	EUR
NA19023	female	AFR
NA19473	female	AFR
NA20815	male	EUR
NA19092	male	AFR
NA19625	female	AFR
NA20757	female	EUR
NA19097	female	AFR
NA19649	male	AMR
NA20764	female	EUR
NA19100	female	AFR
NA19651	female	AMR
NA20769	female	EUR
NA19105	female	AFR
NA19656	female	AMR
NA20771	female	EUR
NA19028	male	AFR
NA19252	male	AFR
NA20783	male	EUR
NA19030	female	AFR
NA19257	female	AFR
NA20505	female	EUR
NA19035	male	AFR
NA19308	male	AFR
NA20512	male	EUR
NA19042	female	AFR
NA19310	female	AFR
NA20517	female	EUR
NA19054	female	EAS
NA19404	female	AFR
NA20524	male	EUR
NA18962	male	EAS
NA19428	male	AFR
NA20889	male	SAS
NA18967	male	EAS
NA19430	male	AFR
NA20891	male	SAS
NA18974	male	EAS
NA19435	female	AFR
NA20896	female	SAS
NA18948	male	EAS
NA19315	female	AFR
NA20904	male	SAS
NA18950	female	EAS
NA19327	female	AFR
NA20909	male	SAS
NA18955	male	EAS
NA19334	male	AFR
NA20911	male	SAS
NA19078	female	EAS
NA19346	male	AFR
NA20822	female	EUR
NA19080	female	EAS
NA19682	male	AMR
NA20827	male	EUR
NA19085	male	EAS
NA19702	male	AFR
NA20846	male	SAS
NA18979	female	EAS
NA19707	female	AFR
NA20872	female	SAS
NA18981	female	EAS
NA19663	female	AMR
NA20877	female	SAS
NA18986	male	EAS
NA19670	male	AMR
NA20884	male	SAS
NA18993	female	EAS
NA19675	female	AMR
NA20853	female	SAS
NA18998	female	EAS
NA19384	male	AFR
NA20858	male	SAS
NA19059	female	EAS
NA19391	female	AFR
NA21135	male	SAS
NA19066	male	EAS
NA19396	female	AFR
NA21142	female	SAS
NA19174	male	AFR
NA19360	male	AFR
SC_GMJOL5309890	female	AFR
NA19186	male	AFR
NA19372	male	AFR
SC_GMFUL5306413	male	AFR
NA19198	male	AFR
NA19377	female	AFR
SC_GMFUL5309722	female	AFR
NA19201	female	AFR
NA19454	male	AFR
SC_GMFUL5306374	male	AFR
NA19206	female	AFR
NA19461	male	AFR
SC_GMFUL5306398	male	AFR
NA19213	male	AFR
NA19466	male	AFR
SC_GMFUL5306406	female	AFR
NA19225	female	AFR
NA19788	female	AMR
SC_GMFUL5306343	female	AFR
NA19237	female	AFR
NA19790	female	AMR
NA21104	male	SAS
NA19117	male	AFR
NA19795	male	AMR
NA21109	male	SAS
NA19129	female	AFR
NA19834	male	AFR
NA21111	male	SAS
NA19131	female	AFR
NA19904	male	AFR
NA21116	male	SAS
NA19249	male	AFR
NA19714	female	AFR
SC_GMJOL5309922	male	AFR
NA19256	male	AFR
NA19719	female	AMR
SC_GMFUL5306362	male	AFR
NA19307	male	AFR
NA19721	female	AMR
SC_GMJOL5309939	female	AFR
NA19143	female	AFR
NA19726	male	AMR
SC_GMFUL5306418	male	AFR
NA19148	female	AFR
NA19733	female	AMR
NA21123	male	SAS
NA19150	male	AFR
NA19909	female	AFR
NA21128	male	SAS
NA19338	female	AFR
NA19916	male	AFR
NA21130	male	SAS
NA19352	male	AFR
NA19923	female	AFR
SC_GMFUL5306355	female	AFR
NA19371	male	AFR
NA19985	female	AFR
SC_GMFUL5309708	male	AFR
NA19376	male	AFR
NA20127	female	AFR
SC_GMFUL5306379	female	AFR
NA19403	female	AFR
NA19764	female	AMR
NA21089	female	SAS
NA19434	female	AFR
NA19771	male	AMR
NA21091	male	SAS
NA19439	female	AFR
NA19776	female	AMR
SC_GMFUL5309741	female	AFR
NA19314	female	AFR
NA19783	male	AMR
SC_GMFUL5306432	female	AFR
NA19319	male	AFR
NA19738	male	AMR
SC_GMFUL5306367	male	AFR
NA19321	female	AFR
NA19740	female	AMR
SC_GMJOL5309941	male	AFR
NA19383	male	AFR
NA19752	female	AMR
SC_GMJOL5309965	female	AFR
NA19390	female	AFR
NA19757	male	AMR
SC_GMJOL5309934	female	AFR
NA19395	female	AFR
NA20348	male	AFR
SC_GMJOL5309958	female	AFR
NA19713	female	AFR
NA20350	male	AFR
SC_GMJOL5309821	female	AFR
NA19718	female	AMR
NA20355	female	AFR
SC_GMWOF5428762	male	AFR
NA19720	male	AMR
NA20362	male	AFR
SC_GMWOF5428731	male	AFR
NA19725	female	AMR
NA20297	male	AFR
SC_GMJOL5309953	male	AFR
NA19732	male	AMR
NA20300	female	AFR
SC_GMJOL5309977	male	AFR
NA19679	male	AMR
NA20312	female	AFR
SC_GMJOL5309819	female	AFR
NA19681	female	AMR
NA20317	female	AFR
SC_GMJOL5309895	female	AFR
NA19686	female	AMR
NA20278	male	AFR
SC_GMJOL5309903	male	AFR
NA19701	female	AFR
NA20285	male	AFR
SC_GMJOL5309927	male	AFR
NA19472	female	AFR
NA20292	female	AFR
SC_GMFUL5306348	male	AFR
NA19648	female	AMR
NA20336	female	AFR
SC_GMFUL5309789	female	AFR
NA19650	male	AMR
NA20343	male	AFR
SC_GMFUL5309710	male	AFR
NA19655	male	AMR
NA20778	male	EUR
SC_GMJOL5309883	female	AFR
NA19737	female	AMR
NA20785	male	EUR
SC_GMJOL5309852	male	AFR
NA19749	female	AMR
NA20792	male	EUR
SC_GMJOL5309876	male	AFR
NA19751	male	AMR
NA20797	female	EUR
